words,frequency,topic
just,580,1
like,570,1
know,500,1
get,490,1
got,480,1
will,480,1
go,440,1
can,430,1
one,395,1
now,390,1
time,380,1
make,370,1
say,360,1
see,355,1
take,354,1
never,353,1
come,350,1
way,345,1
caus,340,1
ca,335,1
want,335,1
back,325,1
look,300,1
right,290,1
love,285,1
man,285,1
day,283,1
let,280,1
oh,260,1
yeah,250,1
night,100,6
light,90,6
sky,85,6
eye,80,6
away,75,6
day,74,6
star,72,6
dream,70,6
see,70,6
time,68,6
like,68,6
moon,68,6
heart,68,6
dark,68,6
wind,68,6
sea,67,6
shine,66,6
will,65,6
hear,64,6
shadow,64,6
love,64,6
sun,62,6
wait,62,6
far,62,6
face,62,6
one,62,6
tree,61,6
cold,60,6
call,55,6
long,54,6